,video_name_8,video_gk_8, frame_count_8,video_name_16,video_gk_16, frame_count_16
0,Harel_D20211012_115149_SSummer_N00054_CtRustic_H000_LcSunlight_Ds03000_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P05_T25_MWIR_unknown-8bit,6897,22,Harel_D20211012_115149_SSummer_N00054_CtRustic_H000_LcSunlight_Ds03000_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P05_T25_flir,2459,83
1,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00016_CtNone_H030_LcFullDaylight_Ds10000_LtWavelets_LfSea_VrNone_StMix_LdBackLight_B03_V00_Js00_P01_T30_MWIR_unknown-8bit,7101,32,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00016_CtNone_H030_LcFullDaylight_Ds10000_LtWavelets_LfSea_VrNone_StMix_LdBackLight_B03_V00_Js00_P01_T30_flir,2776,4
2,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00018_CtNone_H030_LcSunlight_Ds08000_LtWavelets_LfSea_VrNone_StMix_LdTopLight_B03_V00_Js00_P01_T30_MWIR_unknown-8bit,7104,43,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00018_CtNone_H030_LcSunlight_Ds08000_LtWavelets_LfSea_VrNone_StMix_LdTopLight_B03_V00_Js00_P01_T30_flir,2778,14
3,EinYahav_Sbpalmfield_D20211109_Pn2_SSummer_N00074_CtUninhabited_H015_LcSunlight_Ds03000_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V00_Mc00_B00_Js00_Dr00_T30_TsTrainVald_Set000_MWIR_unknown-8bit,6636,44,EinYahav_Sbpalmfield_D20211109_Pn2_SSummer_N00074_CtUninhabited_H015_LcSunlight_Ds03000_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V00_Mc00_B00_Js00_Dr00_T30_TsTrainVald_Set000_flir,2321,15
4,EinYahav_Sbclosedunes_D20211108_Pn2_SSummer_N00001_CtUninhabited_H010_LcSunlight_Ds00800_LtNone_LfDunes_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T30_TsTrack_Set000_MWIR_unknown-8bit,6485,45,EinYahav_Sbclosedunes_D20211108_Pn2_SSummer_N00001_CtUninhabited_H010_LcSunlight_Ds00800_LtNone_LfDunes_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T30_TsTrack_Set000_flir,2205,17
5,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00032_CtNone_H030_LcFullDaylight_Ds03250_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P14_T30_MWIR_unknown-8bit,7000,45,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00032_CtNone_H030_LcFullDaylight_Ds03250_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P14_T30_flir,2708,20
6,AshdodPort_D20210802_Pn2_SSummer_N00071_CtUrban_H035_LcSunlight_Ds02000_LtNone_LfPlateaus_VrScrubs_StNatural_LdTopLight_B00_V10_Js00_P00_T28_MWIR_unknown-8bit,6397,45,AshdodPort_D20210802_Pn2_SSummer_N00071_CtUrban_H035_LcSunlight_Ds02000_LtNone_LfPlateaus_VrScrubs_StNatural_LdTopLight_B00_V10_Js00_P00_T28_flir,2000,17
7,RitzCarltonHerzliya_D20210707_Pn2_SSummer_N00026_CtUrban_H030_LcSunlight_Ds00800_LtCalm_LfSea_VrNone_StMix_LdTopLight_B01_V00_Js00_P00_T30_MWIR_unknown-8bit,7057,45,RitzCarltonHerzliya_D20210707_Pn2_SSummer_N00026_CtUrban_H030_LcSunlight_Ds00800_LtCalm_LfSea_VrNone_StMix_LdTopLight_B01_V00_Js00_P00_T30_flir,2748,2467
8,EinYahav_Sbpalmfield_D20211108_Pn2_SSummer_N00031_CtUninhabited_H010_LcSunlight_Ds02500_LtNone_LfPlateaus_VrScrubs_StTrainVald_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T30_TsTrainVald_Set000_MWIR_unknown-8bit,6558,46,EinYahav_Sbpalmfield_D20211108_Pn2_SSummer_N00031_CtUninhabited_H010_LcSunlight_Ds02500_LtNone_LfPlateaus_VrScrubs_StTrainVald_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T30_TsTrainVald_Set000_flir,2253,18
9,EinYahav_Sbboulders_D20211109_Pn2_SSummer_N00116_CtUninhabited_H015_LcQuarterMoon_Ds01500_LtNone_LfPlateaus_VrDesert_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T25_TsTrainVald_Set000_MWIR_unknown-8bit,6563,46,EinYahav_Sbboulders_D20211109_Pn2_SSummer_N00116_CtUninhabited_H015_LcQuarterMoon_Ds01500_LtNone_LfPlateaus_VrDesert_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T25_TsTrainVald_Set000_flir,2257,17
10,EinYahav_Sbbigtree_D20211108_Pn2_SSummer_N00073_CtUninhabited_H010_LcQuarterMoon_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrack_Set000_MWIR_unknown-8bit,6478,46,EinYahav_Sbbigtree_D20211108_Pn2_SSummer_N00073_CtUninhabited_H010_LcQuarterMoon_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrack_Set000_flir,2201,17
11,EinYahav_Sbsmallhill_D20211109_Pn2_SSummer_N00095_CtUninhabited_H015_LcQuarterMoon_Ds00500_LtNone_LfPlateaus_VrDesert_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T25_TsTrainVald_Set000_MWIR_unknown-8bit,6655,46,EinYahav_Sbsmallhill_D20211109_Pn2_SSummer_N00095_CtUninhabited_H015_LcQuarterMoon_Ds00500_LtNone_LfPlateaus_VrDesert_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T25_TsTrainVald_Set000_flir,2333,17
12,RitzCarltonHerzliya_D20210707_Pn2_SSummer_N00053_CtNone_H030_LcQuarterMoon_Ds03500_LtWavelets_LfSea_VrNone_StNatural_LdSideLight_B02_V00_Js00_P00_T30_MWIR_unknown-8bit,7084,55,RitzCarltonHerzliya_D20210707_Pn2_SSummer_N00053_CtNone_H030_LcQuarterMoon_Ds03500_LtWavelets_LfSea_VrNone_StNatural_LdSideLight_B02_V00_Js00_P00_T30_flir,2765,34
13,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00023_CtNone_H030_LcSunlight_Ds04000_LtWavelets_LfSea_VrNone_StMix_LdTopLight_B02_V00_Js00_P01_T30_MWIR_unknown-8bit,7111,60,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00023_CtNone_H030_LcSunlight_Ds04000_LtWavelets_LfSea_VrNone_StMix_LdTopLight_B02_V00_Js00_P01_T30_flir,2782,60
14,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00024_CtUrban_H030_LcFullDaylight_Ds00360_LtNone_LfDunes_VrDesert_StMix_LdBackLight_B00_V03_Js00_P12_T30_MWIR_unknown-8bit,6989,80,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00024_CtUrban_H030_LcFullDaylight_Ds00360_LtNone_LfDunes_VrDesert_StMix_LdBackLight_B00_V03_Js00_P12_T30_flir,2700,53
15,HavatHabaron_D20210824_Pn2_SSummer_N00086_CtUrban_H080_LcStarlight_Ds06000_LtNone_LfPlateaus_VrScrubs_StStaged_LdSideLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,7179,84,HavatHabaron_D20210824_Pn2_SSummer_N00086_CtUrban_H080_LcStarlight_Ds06000_LtNone_LfPlateaus_VrScrubs_StStaged_LdSideLight_B00_V00_Js00_P09_T25_flir,2570,49
16,HavatHabaron_D20210824_Pn2_SSummer_N00038_CtUrban_H080_LcSunlight_Ds03500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_B00_V01_Js02_P00_T25_MWIR_unknown-8bit,7136,84,HavatHabaron_D20210824_Pn2_SSummer_N00038_CtUrban_H080_LcSunlight_Ds03500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_B00_V01_Js02_P00_T25_flir,2527,64
